rank,component,subsystem_group,failure_cause,local_effect,system_effect,distinct_incidents_observed,severity,occurrence,detection,rpn,data_support,score_source
1,Main/Rotor Bearing,Drivetrain,"Fatigue, wear, inadequate lubrication, misalignment","Increased friction, vibration, heat in main shaft",Turbine forced offline; risk of cascading drivetrain damage; among the most expensive repairs,3,10,6,8,480,observed,Section 1.6 worked table
2,Pitch System,Rotor,"Motor/electrical wear, encoder drift, control card fault",Loss of precise blade angle control,"Reduced power regulation; in worst sub-modes, loss of the primary overspeed protection layer",11,8,9,5,360,observed,Section 1.6 worked table
3,Gearbox,Drivetrain,"Lubrication failure, gear tooth wear/fatigue","Abnormal oil condition, unusual vibration/noise",Torque transfer degraded/lost; turbine stopped; one of the costliest drivetrain repairs,3,9,6,6,324,observed,Section 1.6 worked table
4,Generator,Drivetrain/Electrical,"Bearing wear, winding insulation fault",Abnormal bearing temperature/vibration,Loss of generation at that turbine; major component replacement,2,9,4,7,252,observed,Section 1.6 worked table
5,Hydraulic System,Nacelle (shared),"Pump fault, accumulator fault, low fluid level",Reduced/lost hydraulic pressure,Degraded pitch or brake actuation — a shared support system for two safety-critical functions,6,7,7,4,196,observed,Section 1.6 worked table
6,Cooling System,Nacelle,"Valve mispositioning, blocked/degraded cooling circuit (non-gearbox)","Reduced heat rejection, rising component temperature",Typically a controlled derate/trip on over-temperature protection rather than a catastrophic event — moderate severity by design of the protection scheme,4,5,6,6,180,observed,Added by aeolus_rams — not in Section 1.6 source table; re-review before treating as final
7,Grounding/Lightning Protection,Nacelle/Rotor,"Worn/damaged grounding brush, degraded lightning conduction path",Increased risk of induced electrical/mechanical damage during a lightning strike,"Often no IMMEDIATE operational disruption — the real risk is latent: it raises the probability/severity of a FUTURE lightning-induced failure elsewhere (blade, electronics). Scored above 'moderate' to reflect that latent risk even though it rarely triggers a standalone SCADA event.",2,6,4,7,168,observed,Added by aeolus_rams — not in Section 1.6 source table; re-review before treating as final
8,Mechanical Brake,Nacelle,"Hydraulic/electrical supply fault, disc/caliper wear",Brake fails to apply/release correctly,Loss of a redundant overspeed protection layer — safety-relevant,3,9,6,3,162,observed,Section 1.6 worked table
9,Transformer,Power Conversion,"Insulation degradation, overpressure, oil contamination","Internal electrical fault, pressure relief activation",Loss of power export from that turbine; fire/containment risk,2,8,4,5,160,observed,Section 1.6 worked table
10,Electrical Safety System,Control & Safety,"Relay fault, RCD fault","Safety interlock opens, or fails to protect","Fail-safe shutdown, or reduced electrical fault protection",3,8,6,2,96,observed,Section 1.6 worked table
11,Converter,Power Conversion,"Power electronics fault, fuse/filter failure",Abnormal power conversion behavior,Turbine derated or stopped; production loss until module replaced,2,6,4,3,72,observed,Section 1.6 worked table
12,SCADA/Communication,Control & Safety,Fieldbus/communication module fault,Loss of turbine-to-SCADA data link,"Loss of monitoring visibility; concurrent with another fault, removes the automated trip's ability to act",2,6,4,2,48,observed,Section 1.6 worked table
13,Yaw System,Nacelle,"Drive/motor wear, grease system fault",Yaw misalignment,"Reduced energy capture, increased loading; rarely safety-critical alone",1,5,2,4,40,observed,Section 1.6 worked table
